Topic,Question,Problem,Solution
Crops,"What should I plant in warm weather?","warm weather crops","Plant maize, sunflower, or beans. These thrive in Lesotho's warm seasons (October-March)."
Crops,"What should I plant in cool weather?","cool weather crops","Plant wheat, peas, or cabbage. Ideal for Lesotho's cooler months (April-September)."
Crops,"What are drought-resistant crops?","drought resistant crops","Try sorghum, millet, or cowpeas. These need minimal water and survive dry spells."
Crops,"What are good cash crops in Lesotho?","cash crops lesotho","Grow cabbage, carrots, and spinach. These sell well in local markets (e.g., Maseru Market)."
Crops,"When should I plant maize?","plant maize","Plant maize at the start of the rainy season (October-November). Use spacing: 20-30 cm between seeds, 75 cm between rows."
Crops,"When should I plant wheat?","plant wheat","Plant wheat in early winter (May-June) for best yield. Ensure soil pH is 6.0-7.0."
Crops,"When should I plant sorghum?","plant sorghum","Plant sorghum at the beginning of the rainy season (November). It tolerates drought well."
Crops,"What is the best spacing for maize?","maize spacing","Plant maize seeds 20-30 cm apart with rows 75 cm apart. This optimizes sunlight and airflow."
Crops,"How to increase maize yield?","increase maize yield","1. Spacing: 20-30 cm between plants; 2. Fertilizer: Apply NPK 15-15-15 at planting and side-dress with urea 4 weeks later; 3. Pests: Control aphids with neem oil (20 ml/liter); 4. Water: 2-3 times/week (5L/m²)."
Crops,"How to know if crops need water?","crops need water","Check soil moisture: Insert your finger 5 cm deep. Water if dry; avoid waterlogging."
Crops,"How to rotate crops?","crop rotation","Alternate groups yearly: Year 1: Cereals (maize/wheat); Year 2: Legumes (beans/peas); Year 3: Root crops (carrots). This reduces pests/diseases and improves soil."
Crops,"Why do some plants have big green leaves but no fruits?","leaves no fruit","1. Reduce nitrogen: Stop high-N fertilizers (e.g., urea); 2. Add phosphorus/potassium: Use bone meal (P) or wood ash (K); 3. Pollination: Attract bees with flowering plants or hand-pollinate; 4. Prune: Remove excess leaves to redirect energy to fruits."
Crops,"Why do crops curl or wilt?","crops wilt","1. Water stress: Underwatering - water deeply 2-3 times/week; Overwatering - let soil dry before next watering; 2. Pests: Spray neem oil for aphids/whiteflies; 3. Disease: Remove infected plants; use copper fungicide for fungal issues."
Crops,"How can I fix yellow leaves?","yellow leaves","1. Test soil: pH 6.0-7.0 (adjust with lime/sulfur); Nitrogen - apply urea (200g/m²) or compost if low; 2. Adjust watering: Let top 5 cm of soil dry between waterings; 3. Check pests: Spray neem oil (20 ml/liter) if aphids/whiteflies are present; 4. Improve drainage: Add sand/compost to clay soil; 5. Micronutrients: Apply iron chelate if young leaves are yellow (interveinal chlorosis)."
Crops,"How can I encourage fruiting in leafy plants?","encourage fruiting","1. Reduce nitrogen: Switch to low-N fertilizer (e.g., NPK 5-10-10); 2. Add phosphorus: Use bone meal (100g/m²) at flowering; 3. Sunlight: Ensure 6+ hours of direct sun daily; 4. Pollinators: Plant pollinator-friendly flowers (e.g., marigolds) nearby; 5. Prune: Remove 30% of older leaves to redirect energy."
Crops,"What is the best time to plant beans?","plant beans","Plant beans after the last frost (September-October) when soil temperature is >15°C."
Crops,"How to improve tomato yield?","improve tomato yield","1. Support: Use stakes/cages to prevent disease; 2. Prune: Remove suckers below first flower cluster; 3. Water: Drip irrigation (2-3 times/week; avoid wetting leaves); 4. Fertilize: NPK 5-10-10 at planting + compost every 3 weeks; 5. Pests: Handpick hornworms; use Bt for caterpillars."
Crops,"How to grow cabbage?","grow cabbage","1. Soil: Fertile, well-drained (pH 6.5-7.0). Add compost before planting; 2. Planting: Sow seeds 0.5 cm deep, 30 cm apart. Thin to 45 cm; 3. Water: Keep soil consistently moist (2-3 cm/week); 4. Pests: Use row covers to exclude cabbage worms; spray Bt if needed; 5. Harvest: Cut heads when firm (60-90 days)."
Crops,"What is the ideal soil for potatoes?","potato soil","1. Type: Loose, sandy loam (50% sand, 30% silt, 20% clay); 2. pH: 5.0-6.5 (add sulfur if too alkaline); 3. Prep: Mix in compost (5 kg/m²) before planting; 4. Drainage: Raise beds 30 cm if soil is heavy."
Crops,"When should I plant carrots?","plant carrots","Plant in early spring (August-September) or late summer in loose, rock-free soil. Harvest in 70-80 days."
